text,label
"Given hjbxasq reverse entails fsfsbwz, does hjbxasq reverse entail not fsfsbwz?",0
"Given hcb reverse entails avb, does avb contradict not hcb?",0
"Given usnvrtxt reverse entails cug, does cug contradict not usnvrtxt?",0
"Given cbgvtuv reverse entails artyhgaw, does cbgvtuv contradict not artyhgaw?",0
"Given xwyh reverse entails krns, does krns reverse entail not xwyh?",0
"Given xkcfds reverse entails mwpjqeo, does not xkcfds contradict mwpjqeo?",0
"Given cbgvtuv reverse entails artyhgaw, does not cbgvtuv reverse entail not artyhgaw?",0
"Given lwqmhgf reverse entails fjvkmsh, does not fjvkmsh contradict lwqmhgf?",0
"Given rsxh reverse entails jsas, does not jsas contradict not rsxh?",0
"Given hjbxasq contradicts hjbxasq, does hjbxasq reverse entail not hjbxasq?",1
"Given jgggkqft forward entails sohpxzlr, does sohpxzlr reverse entail not jgggkqft?",0
"Given gjbfdbfe contradicts gjbfdbfe, does not gjbfdbfe contradict not gjbfdbfe?",1
"Given gptju forward entails xaunhzg, does not gptju contradict not xaunhzg?",0
"Given itlkjqbw contradicts itlkjqbw, does not itlkjqbw forward entail not itlkjqbw?",0
"Given qehbbnq reverse entails hxhvyqsk, does not hxhvyqsk forward entail not qehbbnq?",0
"Given artyhgaw forward entails cbgvtuv, does not cbgvtuv contradict artyhgaw?",0
"Given vsrk reverse entails pgsrvnu, does not pgsrvnu reverse entail vsrk?",0
"Given xaunhzg reverse entails cug, does not xaunhzg forward entail cug?",0
"Given qehbbnq reverse entails jlhnqyu, does qehbbnq contradict not jlhnqyu?",0
"Given geopiwid forward entails jwnyvv, does geopiwid contradict jwnyvv?",0
"Given oexyblwf contradicts oexyblwf, does not oexyblwf reverse entail oexyblwf?",1
"Given xwyh contradicts xwyh, does xwyh contradict not xwyh?",0
"Given wasb reverse entails peys, does peys forward entail not wasb?",0
"Given fxtxzy contradicts fxtxzy, does not fxtxzy forward entail fxtxzy?",1
"Given oikcp forward entails ubmtcwcr, does ubmtcwcr contradict not oikcp?",0
"Given artyhgaw forward entails cbgvtuv, does not cbgvtuv reverse entail artyhgaw?",0
"Given aobo forward entails hrcumlo, does not aobo contradict hrcumlo?",0
"Given yqwyofx reverse entails alj, does not yqwyofx forward entail not alj?",1
"Given tgek forward entails vstdxajs, does vstdxajs reverse entail tgek?",1
"Given hofvblho reverse entails alj, does alj reverse entail not hofvblho?",0
"Given hjbxasq forward entails lqpnz, does lqpnz forward entail not hjbxasq?",0
"Given fywuwgg forward entails ztpxzlk, does not ztpxzlk forward entail not fywuwgg?",1
"Given yyodbckj reverse entails pgsrvnu, does pgsrvnu reverse entail not yyodbckj?",0
"Given yln contradicts yln, does yln forward entail yln?",0
"Given krns forward entails wwzd, does krns contradict not wwzd?",0
"Given htlrjsdc forward entails kux, does not kux reverse entail not htlrjsdc?",0
"Given wzbkv contradicts wzbkv, does wzbkv contradict wzbkv?",1
"Given fqajj forward entails ryz, does not ryz forward entail fqajj?",0
"Given wzbkv reverse entails uqcao, does not uqcao forward entail not wzbkv?",0
"Given hcb forward entails ndz, does ndz reverse entail not hcb?",0
"Given wepptuc contradicts wepptuc, does not wepptuc forward entail wepptuc?",1
"Given lwqmhgf reverse entails fjvkmsh, does not lwqmhgf forward entail fjvkmsh?",0
"Given jqnpdsvu forward entails pxdpdyd, does pxdpdyd contradict jqnpdsvu?",0
"Given awxm contradicts awxm, does awxm contradict not awxm?",0
"Given jqgb reverse entails fvn, does not fvn forward entail not jqgb?",0
"Given cug forward entails sqp, does not sqp contradict not cug?",0
"Given ntcbps reverse entails cdtkww, does cdtkww forward entail not ntcbps?",0
"Given hhrt contradicts hhrt, does hhrt forward entail hhrt?",0
"Given sftoshur contradicts sftoshur, does not sftoshur forward entail sftoshur?",1
"Given xoatpoe contradicts xoatpoe, does not xoatpoe reverse entail xoatpoe?",1
"Given zvin reverse entails nkssoi, does not nkssoi reverse entail zvin?",0
"Given ubmtcwcr reverse entails oikcp, does not ubmtcwcr contradict oikcp?",0
"Given afsrph forward entails zvin, does zvin contradict afsrph?",0
"Given gng contradicts gng, does not gng contradict not gng?",1
"Given pgsrvnu forward entails vsrk, does not pgsrvnu contradict vsrk?",0
"Given krns reverse entails bnmh, does not krns forward entail bnmh?",0
"Given gzzzq forward entails sohpxzlr, does not sohpxzlr reverse entail not gzzzq?",0
"Given qmbli reverse entails fmpph, does not qmbli contradict fmpph?",0
"Given wxj reverse entails gzet, does not gzet contradict wxj?",0
"Given xaunhzg reverse entails cug, does not xaunhzg contradict not cug?",0
"Given fqajj forward entails yjcb, does yjcb reverse entail fqajj?",1
"Given kxoinqe forward entails yqwyofx, does not yqwyofx forward entail kxoinqe?",0
"Given hoqueghn forward entails uqegks, does hoqueghn reverse entail not uqegks?",0
"Given geopiwid forward entails jwnyvv, does not jwnyvv forward entail not geopiwid?",1
"Given sqp forward entails wbcnkxmz, does sqp contradict not wbcnkxmz?",0
"Given uhl forward entails wviwtujq, does not wviwtujq forward entail not uhl?",1
"Given bsx contradicts bsx, does not bsx forward entail bsx?",1
"Given wwzd reverse entails jqzqhys, does not jqzqhys contradict not wwzd?",0
"Given biqodpk forward entails vco, does not vco contradict not biqodpk?",0
"Given usnvrtxt reverse entails cug, does not usnvrtxt reverse entail not cug?",0
"Given lbz forward entails zpd, does not lbz contradict zpd?",0
"Given zmre reverse entails zinoyr, does zinoyr contradict not zmre?",0
"Given iqaemm contradicts iqaemm, does not iqaemm contradict not iqaemm?",1
"Given hjbxasq forward entails lqpnz, does not hjbxasq reverse entail lqpnz?",0
"Given bnmh forward entails krns, does bnmh forward entail not krns?",0
"Given uqegks reverse entails hoqueghn, does uqegks reverse entail not hoqueghn?",0
"Given rjlyb contradicts rjlyb, does rjlyb reverse entail not rjlyb?",1
"Given cug forward entails xaunhzg, does not cug reverse entail not xaunhzg?",1
"Given gjke contradicts gjke, does gjke forward entail not gjke?",1
"Given hxhvyqsk reverse entails hhrt, does not hxhvyqsk reverse entail not hhrt?",0
"Given jzgf forward entails tvfkzen, does not jzgf contradict not tvfkzen?",0
"Given ivysda forward entails krns, does not krns reverse entail not ivysda?",0
"Given mwpjqeo forward entails xkcfds, does not mwpjqeo reverse entail xkcfds?",0
"Given wwzd reverse entails krns, does wwzd forward entail krns?",0
"Given jlhnqyu reverse entails ecvmruua, does not jlhnqyu reverse entail ecvmruua?",0
"Given yyodbckj reverse entails peys, does not peys contradict yyodbckj?",0
"Given zxmznl reverse entails msc, does zxmznl contradict msc?",0
"Given zvin contradicts zvin, does zvin contradict zvin?",1
"Given jsas forward entails rsxh, does not jsas contradict not rsxh?",0
"Given jkj contradicts jkj, does not jkj reverse entail jkj?",1
"Given vzqrgp contradicts vzqrgp, does not vzqrgp contradict vzqrgp?",0
"Given gzqijrz forward entails pvpnx, does gzqijrz contradict pvpnx?",0
"Given wviwtujq reverse entails pbxq, does pbxq reverse entail not wviwtujq?",0
"Given ecvmruua contradicts ecvmruua, does ecvmruua reverse entail not ecvmruua?",1
"Given jdlxho forward entails qpd, does not qpd contradict jdlxho?",0
"Given oxdzjoda contradicts oxdzjoda, does not oxdzjoda contradict not oxdzjoda?",1
"Given jqzqhys forward entails kml, does not kml reverse entail not jqzqhys?",0
"Given lbz reverse entails fsfsbwz, does not fsfsbwz contradict not lbz?",0
"Given urjia reverse entails jsas, does not urjia contradict jsas?",0
"Given gzqijrz contradicts gzqijrz, does gzqijrz reverse entail gzqijrz?",0
"Given yqwyofx reverse entails alj, does alj reverse entail yqwyofx?",0
"Given wjnl reverse entails cug, does cug reverse entail wjnl?",0
"Given gzet forward entails ypl, does not gzet forward entail not ypl?",0
"Given pbxq forward entails ubmtcwcr, does not pbxq forward entail not ubmtcwcr?",0
"Given ysytsje contradicts ysytsje, does ysytsje forward entail not ysytsje?",1
"Given dst forward entails gjke, does not gjke reverse entail not dst?",0
"Given jzgf forward entails tvfkzen, does not jzgf reverse entail not tvfkzen?",1
"Given kxoinqe forward entails yqwyofx, does kxoinqe contradict yqwyofx?",0
"Given hkc reverse entails bkycjet, does not hkc contradict not bkycjet?",0
"Given taw forward entails wosvqylw, does wosvqylw forward entail not taw?",0
"Given fqajj contradicts fqajj, does fqajj forward entail fqajj?",0
"Given iikppueq forward entails uqcao, does not uqcao contradict not iikppueq?",0
"Given pxdpdyd reverse entails ogb, does not pxdpdyd forward entail ogb?",0
"Given uoylhxeh reverse entails geopiwid, does not geopiwid forward entail not uoylhxeh?",0
"Given jlhnqyu forward entails qehbbnq, does qehbbnq reverse entail not jlhnqyu?",0
"Given uqegks reverse entails cmslerbr, does not uqegks forward entail not cmslerbr?",1
"Given ktxfqqtk contradicts ktxfqqtk, does ktxfqqtk reverse entail ktxfqqtk?",0
"Given jsas forward entails rsxh, does rsxh contradict jsas?",0
"Given zfmzsxw reverse entails wviwtujq, does not zfmzsxw reverse entail not wviwtujq?",0
"Given yaaksgq contradicts yaaksgq, does not yaaksgq reverse entail not yaaksgq?",0
"Given imit forward entails wviwtujq, does imit contradict not wviwtujq?",0
"Given vni reverse entails nkssoi, does nkssoi reverse entail not vni?",0
"Given lcbjt forward entails wqkqzc, does lcbjt forward entail not wqkqzc?",0
"Given zhmix reverse entails wzbkv, does zhmix forward entail wzbkv?",0
"Given uoylhxeh contradicts uoylhxeh, does uoylhxeh reverse entail not uoylhxeh?",1
"Given uqcao forward entails wzbkv, does not uqcao contradict wzbkv?",0
"Given dhsdlexf forward entails qehbbnq, does not dhsdlexf contradict qehbbnq?",0
"Given bkycjet forward entails hkc, does bkycjet forward entail not hkc?",0
"Given qapwypwu contradicts qapwypwu, does not qapwypwu forward entail qapwypwu?",1
"Given pbxq forward entails ubmtcwcr, does not ubmtcwcr contradict not pbxq?",0
"Given geopiwid contradicts geopiwid, does geopiwid forward entail geopiwid?",0
"Given jdwpknxd forward entails zvnb, does not jdwpknxd reverse entail not zvnb?",1
"Given yjcb reverse entails fqajj, does not fqajj contradict yjcb?",0
"Given lwedvgiv reverse entails fsfbvwy, does not fsfbvwy contradict not lwedvgiv?",0
"Given iohjrn reverse entails hvhz, does iohjrn forward entail hvhz?",0
"Given jvgomc forward entails zvnb, does zvnb forward entail jvgomc?",0
"Given ivysda forward entails krns, does not ivysda reverse entail krns?",0
"Given wricfmoe reverse entails hrcumlo, does not wricfmoe contradict not hrcumlo?",0
"Given nlcexuie forward entails zvin, does zvin contradict nlcexuie?",0
"Given lnc reverse entails hvhz, does lnc contradict hvhz?",0
"Given alj contradicts alj, does alj forward entail alj?",0
"Given zvin reverse entails nlcexuie, does not nlcexuie reverse entail not zvin?",1
"Given yczuna contradicts yczuna, does yczuna contradict not yczuna?",0
"Given tfwqhgy reverse entails ogcpusxa, does not ogcpusxa contradict not tfwqhgy?",0
"Given uchw reverse entails gixwtx, does not gixwtx reverse entail uchw?",0
"Given jkj contradicts jkj, does jkj forward entail not jkj?",1
"Given qpd reverse entails jdlxho, does jdlxho contradict not qpd?",0
"Given oxdzjoda contradicts oxdzjoda, does oxdzjoda reverse entail not oxdzjoda?",1
"Given jsas forward entails utohf, does not utohf forward entail jsas?",0
"Given zvin reverse entails abc, does not abc forward entail zvin?",0
"Given yln reverse entails utohf, does not utohf contradict yln?",0
"Given lwqmhgf forward entails pdfx, does not lwqmhgf forward entail not pdfx?",0
"Given sqp reverse entails cug, does not sqp contradict not cug?",0
"Given hhrt forward entails hxhvyqsk, does not hhrt reverse entail not hxhvyqsk?",1
"Given krns forward entails xwyh, does not xwyh contradict not krns?",0
"Given yzynwt reverse entails gjbfdbfe, does not yzynwt contradict gjbfdbfe?",0
"Given vym reverse entails cpof, does vym contradict cpof?",0
"Given hjbxasq reverse entails fsfsbwz, does not fsfsbwz reverse entail not hjbxasq?",1
"Given fyjzoy forward entails tgek, does not tgek contradict not fyjzoy?",0
"Given qoghpp forward entails xnszkz, does xnszkz contradict qoghpp?",0
"Given ogt contradicts ogt, does not ogt reverse entail ogt?",1
"Given jswwtf contradicts jswwtf, does jswwtf forward entail jswwtf?",0
"Given ewrsicov forward entails wjpdt, does not wjpdt forward entail not ewrsicov?",1
"Given wjnl contradicts wjnl, does wjnl reverse entail not wjnl?",1
"Given bwr forward entails jwi, does not jwi forward entail bwr?",0
"Given yni contradicts yni, does not yni contradict yni?",0
"Given ezzk contradicts ezzk, does ezzk reverse entail ezzk?",0
"Given jwnyvv reverse entails cmslerbr, does not jwnyvv forward entail cmslerbr?",0
"Given uqcao reverse entails iikppueq, does not iikppueq forward entail not uqcao?",0
"Given npxrezov contradicts npxrezov, does not npxrezov reverse entail not npxrezov?",0
"Given yyodbckj reverse entails peys, does yyodbckj contradict not peys?",0
"Given alj forward entails yqwyofx, does not yqwyofx contradict not alj?",0
"Given lwvc reverse entails ezzk, does not ezzk forward entail not lwvc?",0
"Given ecvmruua forward entails jlhnqyu, does jlhnqyu forward entail not ecvmruua?",0
"Given jqnpdsvu forward entails pxdpdyd, does pxdpdyd forward entail jqnpdsvu?",0
"Given biqodpk forward entails vco, does biqodpk reverse entail vco?",0
"Given jsas forward entails utohf, does not jsas forward entail not utohf?",0
"Given ttips reverse entails oxdzjoda, does not oxdzjoda reverse entail not ttips?",1
"Given yqwyofx reverse entails kxoinqe, does not kxoinqe forward entail not yqwyofx?",0
"Given htlrjsdc forward entails kux, does not htlrjsdc forward entail not kux?",0
"Given iikppueq forward entails vym, does not vym contradict iikppueq?",0
"Given npaxownb contradicts npaxownb, does npaxownb reverse entail not npaxownb?",1
"Given tihpnuz forward entails wzbkv, does not tihpnuz reverse entail not wzbkv?",1
"Given jzgf forward entails tvfkzen, does tvfkzen contradict jzgf?",0
"Given uqegks reverse entails cmslerbr, does not uqegks reverse entail cmslerbr?",0
"Given dyk contradicts dyk, does dyk reverse entail dyk?",0
"Given tuh contradicts tuh, does tuh reverse entail not tuh?",1
"Given rhiqrvt contradicts rhiqrvt, does rhiqrvt reverse entail not rhiqrvt?",1
"Given yqwyofx reverse entails alj, does not alj forward entail not yqwyofx?",0
"Given gng forward entails qehbbnq, does gng contradict qehbbnq?",0
"Given aobo forward entails hrcumlo, does not aobo forward entail not hrcumlo?",0
"Given lcbjt contradicts lcbjt, does not lcbjt reverse entail not lcbjt?",0
"Given tgek reverse entails fyjzoy, does tgek contradict not fyjzoy?",0
"Given gde forward entails pxdpdyd, does pxdpdyd forward entail gde?",0
"Given abc forward entails zvin, does not abc forward entail not zvin?",0
"Given sohpxzlr reverse entails jgggkqft, does not jgggkqft contradict not sohpxzlr?",0
"Given uqcao reverse entails iikppueq, does not uqcao forward entail not iikppueq?",1
"Given jqgb reverse entails hofvblho, does not hofvblho forward entail not jqgb?",0
"Given uqegks reverse entails hoqueghn, does not hoqueghn reverse entail uqegks?",0
"Given fsfsbwz forward entails lbz, does not lbz contradict not fsfsbwz?",0
"Given yyodbckj reverse entails peys, does not yyodbckj forward entail peys?",0
"Given oanc forward entails xoatpoe, does not oanc forward entail xoatpoe?",0
"Given abc forward entails zvin, does abc contradict zvin?",0
"Given gzqijrz contradicts gzqijrz, does gzqijrz forward entail gzqijrz?",0
"Given xoatpoe reverse entails gamf, does xoatpoe contradict gamf?",0
"Given hofvblho reverse entails fvn, does not hofvblho reverse entail not fvn?",0
"Given rpe contradicts rpe, does rpe forward entail rpe?",0
"Given ohsierl contradicts ohsierl, does ohsierl forward entail not ohsierl?",1
"Given gde forward entails pxdpdyd, does not pxdpdyd forward entail gde?",0
"Given eylsujz forward entails wepptuc, does wepptuc forward entail eylsujz?",0
"Given wricfmoe reverse entails hrcumlo, does not hrcumlo forward entail wricfmoe?",0
"Given sohpxzlr reverse entails npxrezov, does not npxrezov forward entail sohpxzlr?",0
"Given fqjau contradicts fqjau, does not fqjau reverse entail fqjau?",1
"Given cyagfh forward entails vyy, does not vyy contradict not cyagfh?",0
"Given gptju forward entails xaunhzg, does not xaunhzg contradict gptju?",0
"Given tihpnuz forward entails xnszkz, does xnszkz reverse entail tihpnuz?",1
"Given wwzd reverse entails sxslsvzu, does sxslsvzu contradict not wwzd?",0
"Given wwzd reverse entails jqzqhys, does not wwzd reverse entail not jqzqhys?",0
"Given pgsrvnu forward entails vsrk, does not vsrk forward entail pgsrvnu?",0
"Given jwnyvv forward entails vecaupf, does vecaupf forward entail jwnyvv?",0
"Given wqkqzc reverse entails lcbjt, does not lcbjt reverse entail not wqkqzc?",1
"Given lbz forward entails zpd, does not lbz contradict not zpd?",0
"Given vzqrgp contradicts vzqrgp, does vzqrgp contradict vzqrgp?",1
"Given utohf reverse entails jsas, does jsas forward entail not utohf?",0
"Given vecaupf reverse entails jwnyvv, does not vecaupf forward entail not jwnyvv?",1
"Given zxtm reverse entails craat, does not craat contradict not zxtm?",0
"Given qehbbnq forward entails vptemmji, does vptemmji contradict qehbbnq?",0
"Given klzbjq reverse entails cdtkww, does cdtkww reverse entail klzbjq?",0
"Given jqgb forward entails kml, does jqgb forward entail not kml?",0
"Given yyodbckj reverse entails peys, does peys contradict yyodbckj?",0
"Given wfmsuh forward entails wqkqzc, does not wfmsuh contradict not wqkqzc?",0
"Given craat forward entails zxtm, does not zxtm reverse entail not craat?",0
"Given yqwyofx reverse entails vdpejjtp, does vdpejjtp contradict yqwyofx?",0
"Given wzbkv contradicts wzbkv, does wzbkv contradict not wzbkv?",0
"Given zvnb reverse entails jdwpknxd, does jdwpknxd reverse entail not zvnb?",0
"Given jdwpknxd forward entails zvnb, does zvnb contradict not jdwpknxd?",0
"Given jwnyvv reverse entails cmslerbr, does not cmslerbr contradict not jwnyvv?",0
"Given tgek reverse entails fyjzoy, does not tgek contradict not fyjzoy?",0
"Given bnmh forward entails krns, does not krns reverse entail not bnmh?",0
"Given gjbfdbfe contradicts gjbfdbfe, does not gjbfdbfe contradict gjbfdbfe?",0
"Given zinoyr reverse entails kxoinqe, does not zinoyr contradict not kxoinqe?",0
"Given zmre reverse entails urjia, does urjia contradict not zmre?",0
"Given jgggkqft forward entails jjb, does jjb contradict not jgggkqft?",0
"Given qrwmkime reverse entails qapwypwu, does qrwmkime reverse entail not qapwypwu?",0
"Given xwyh reverse entails krns, does not krns contradict xwyh?",0
"Given yyzcwj contradicts yyzcwj, does yyzcwj forward entail not yyzcwj?",1
"Given wjpdt reverse entails ewrsicov, does not ewrsicov reverse entail not wjpdt?",1
"Given zvin reverse entails nlcexuie, does not zvin contradict not nlcexuie?",0
"Given qapwypwu forward entails qrwmkime, does qrwmkime reverse entail not qapwypwu?",0
"Given pgsrvnu forward entails yqwyofx, does yqwyofx reverse entail not pgsrvnu?",0
"Given urjia forward entails zmre, does zmre reverse entail not urjia?",0
"Given usnvrtxt reverse entails qrwmkime, does usnvrtxt forward entail not qrwmkime?",0
"Given craat contradicts craat, does not craat reverse entail craat?",1
"Given pdfx reverse entails hrcumlo, does pdfx contradict not hrcumlo?",0
"Given rrpwvr contradicts rrpwvr, does not rrpwvr reverse entail not rrpwvr?",0
"Given xoatpoe contradicts xoatpoe, does xoatpoe forward entail not xoatpoe?",1
"Given wviwtujq reverse entails imit, does not wviwtujq forward entail imit?",0
"Given ntcbps reverse entails cdtkww, does not cdtkww contradict not ntcbps?",0
"Given klzbjq contradicts klzbjq, does klzbjq contradict not klzbjq?",0
"Given mjhzk forward entails ogcpusxa, does not mjhzk contradict not ogcpusxa?",0
"Given sftoshur forward entails taiuyu, does not taiuyu forward entail sftoshur?",0
"Given iikppueq forward entails mwpjqeo, does mwpjqeo forward entail not iikppueq?",0
"Given ivysda forward entails krns, does ivysda forward entail not krns?",0
"Given pxdpdyd contradicts pxdpdyd, does not pxdpdyd forward entail not pxdpdyd?",0
"Given msc forward entails zxmznl, does zxmznl contradict msc?",0
"Given gzet forward entails jsas, does jsas contradict not gzet?",0
"Given krns forward entails xwyh, does not krns contradict not xwyh?",0
"Given qrwmkime forward entails usnvrtxt, does usnvrtxt contradict not qrwmkime?",0
"Given zxtm reverse entails craat, does not craat contradict zxtm?",0
"Given ftfxv forward entails ylr, does ylr contradict ftfxv?",0
"Given cug contradicts cug, does cug reverse entail not cug?",1
"Given xoatpoe contradicts xoatpoe, does xoatpoe forward entail xoatpoe?",0
"Given iikppueq forward entails uqcao, does iikppueq forward entail not uqcao?",0
"Given jgggkqft forward entails jjb, does not jjb contradict jgggkqft?",0
"Given imit forward entails wviwtujq, does not wviwtujq forward entail imit?",0
"Given fpyroj forward entails ivysda, does not fpyroj forward entail ivysda?",0
"Given nkssoi forward entails zvin, does not nkssoi forward entail not zvin?",0
"Given xoatpoe reverse entails oanc, does xoatpoe contradict oanc?",0
"Given alj forward entails yqwyofx, does alj reverse entail not yqwyofx?",0
"Given jjp forward entails vym, does vym contradict jjp?",0
"Given fsfsbwz forward entails hjbxasq, does hjbxasq forward entail fsfsbwz?",0
"Given fqajj forward entails ryz, does not ryz reverse entail not fqajj?",0
"Given cyagfh forward entails vyy, does cyagfh reverse entail vyy?",0
"Given sohpxzlr reverse entails npxrezov, does npxrezov contradict sohpxzlr?",0
"Given wosvqylw forward entails zgynq, does not zgynq contradict wosvqylw?",0
"Given unncrx reverse entails qehbbnq, does qehbbnq forward entail unncrx?",1
"Given ryz reverse entails peys, does ryz contradict peys?",0
"Given oanc contradicts oanc, does not oanc forward entail not oanc?",0
"Given imit contradicts imit, does not imit contradict imit?",0
"Given wqkqzc reverse entails wfmsuh, does not wfmsuh forward entail not wqkqzc?",0
"Given hrcumlo reverse entails aobo, does not aobo forward entail hrcumlo?",0
"Given hrcumlo contradicts hrcumlo, does hrcumlo forward entail hrcumlo?",0
"Given yqwyofx reverse entails vdpejjtp, does not yqwyofx reverse entail vdpejjtp?",0
"Given jgggkqft contradicts jgggkqft, does jgggkqft forward entail jgggkqft?",0
"Given pbxq forward entails wjpdt, does not wjpdt forward entail pbxq?",0
"Given bwr forward entails taw, does taw reverse entail not bwr?",0
"Given ylr contradicts ylr, does not ylr contradict not ylr?",1
"Given pgsrvnu forward entails yyodbckj, does not pgsrvnu forward entail yyodbckj?",0
"Given twb reverse entails sxslsvzu, does twb reverse entail not sxslsvzu?",0
"Given tvfkzen reverse entails bxoxu, does not bxoxu reverse entail not tvfkzen?",1
"Given gzqijrz forward entails pvpnx, does not pvpnx reverse entail not gzqijrz?",0
"Given jdlxho forward entails qpd, does not jdlxho forward entail qpd?",0
"Given wviwtujq reverse entails pbxq, does pbxq contradict wviwtujq?",0
"Given erqnsxdm contradicts erqnsxdm, does not erqnsxdm reverse entail not erqnsxdm?",0
"Given fqjau contradicts fqjau, does not fqjau contradict fqjau?",0
"Given ubmtcwcr reverse entails pbxq, does pbxq contradict ubmtcwcr?",0
"Given wwzd reverse entails krns, does not wwzd forward entail krns?",0
"Given zfmzsxw reverse entails wviwtujq, does zfmzsxw forward entail wviwtujq?",0
"Given yni contradicts yni, does yni forward entail yni?",0
"Given uhl forward entails wviwtujq, does not wviwtujq contradict not uhl?",0
"Given zhmix reverse entails vdpejjtp, does not zhmix forward entail vdpejjtp?",0
