,text,label
208,"Given sfppo contradicts sfppo, does some sfppo reverse entail most sfppo?",0
209,"Given fpmbp forward entails izzra, does each fpmbp forward entail one izzra?",0
210,"Given cpcwh forward entails feqrx, does each cpcwh forward entail few feqrx?",0
211,"Given cvilp contradicts cvilp, does few cvilp contradict cvilp?",1
212,"Given rxaio contradicts rxaio, does not rxaio reverse entail one rxaio?",1
213,"Given lwgjr reverse entails aucsa, does not aucsa reverse entail not lwgjr?",1
214,"Given cqlmr contradicts cqlmr, does most cqlmr reverse entail each cqlmr?",0
215,"Given dohap contradicts dohap, does one dohap forward entail one dohap?",0
216,"Given bfgtj contradicts bfgtj, does one bfgtj contradict not bfgtj?",0
217,"Given nvnhf reverse entails bcrre, does not bcrre forward entail one nvnhf?",0
218,"Given nxzwo forward entails vllmo, does few vllmo contradict nxzwo?",0
219,"Given nyuhb reverse entails gvxfe, does nyuhb forward entail any gvxfe?",0
220,"Given xkryp forward entails zpcna, does any xkryp contradict not zpcna?",0
221,"Given gakmx forward entails zpcna, does few zpcna reverse entail most gakmx?",1
222,"Given okddw forward entails siytn, does few okddw contradict most siytn?",0
223,"Given hfrjw forward entails kutwj, does some kutwj contradict hfrjw?",0
224,"Given zdebg contradicts zdebg, does each zdebg reverse entail one zdebg?",0
225,"Given kxajv forward entails sovsy, does some sovsy forward entail most kxajv?",0
226,"Given xnbjo reverse entails jwtms, does some jwtms contradict some xnbjo?",0
227,"Given numbd reverse entails hqmtp, does each hqmtp forward entail each numbd?",1
228,"Given jhwcm contradicts jhwcm, does each jhwcm forward entail any jhwcm?",0
229,"Given myaix contradicts myaix, does each myaix forward entail any myaix?",0
230,"Given hfrjw forward entails nxzwo, does not hfrjw contradict each nxzwo?",0
231,"Given osexv forward entails zyeej, does one osexv forward entail few zyeej?",0
232,"Given zyeej reverse entails cjirb, does some cjirb reverse entail few zyeej?",0
233,"Given cpcwh contradicts cpcwh, does one cpcwh contradict few cpcwh?",1
234,"Given rartw contradicts rartw, does one rartw reverse entail some rartw?",0
235,"Given oaucg forward entails seimf, does some oaucg forward entail some seimf?",0
236,"Given bkcpo contradicts bkcpo, does not bkcpo reverse entail some bkcpo?",1
237,"Given iesaj reverse entails feqrx, does any iesaj reverse entail not feqrx?",0
238,"Given ceenz contradicts ceenz, does not ceenz contradict each ceenz?",0
239,"Given haxqv reverse entails dpqqn, does not dpqqn forward entail haxqv?",0
240,"Given tawze forward entails tojzs, does most tawze contradict tojzs?",0
241,"Given gwlhp reverse entails cvilp, does any gwlhp contradict each cvilp?",0
242,"Given bbdat contradicts bbdat, does few bbdat forward entail one bbdat?",0
243,"Given cgxoj contradicts cgxoj, does some cgxoj forward entail not cgxoj?",1
244,"Given vdque contradicts vdque, does some vdque contradict each vdque?",1
245,"Given vtcuh contradicts vtcuh, does most vtcuh forward entail any vtcuh?",0
246,"Given owkve forward entails siytn, does few owkve forward entail each siytn?",0
247,"Given vkoet contradicts vkoet, does most vkoet contradict few vkoet?",1
248,"Given xnbjo reverse entails jwtms, does any xnbjo contradict jwtms?",0
249,"Given umjbg forward entails xednx, does one xednx reverse entail not umjbg?",0
250,"Given sntpw reverse entails gvecs, does any gvecs contradict any sntpw?",0
251,"Given uvzqd forward entails vvsuh, does each uvzqd reverse entail some vvsuh?",0
252,"Given aucsa contradicts aucsa, does one aucsa contradict any aucsa?",1
253,"Given ornzn reverse entails iufyu, does not iufyu forward entail most ornzn?",0
254,"Given ehygp contradicts ehygp, does any ehygp contradict few ehygp?",1
255,"Given fxcsr contradicts fxcsr, does one fxcsr reverse entail each fxcsr?",0
256,"Given cgjxa contradicts cgjxa, does few cgjxa contradict cgjxa?",1
257,"Given zpcna reverse entails gakmx, does gakmx reverse entail zpcna?",0
258,"Given phxbf reverse entails nksyl, does one phxbf forward entail few nksyl?",0
259,"Given nyuhb reverse entails gvxfe, does some nyuhb reverse entail one gvxfe?",0
260,"Given tptap reverse entails khddc, does some tptap forward entail not khddc?",0
261,"Given xrucq reverse entails myovk, does one xrucq reverse entail most myovk?",0
262,"Given enmvf contradicts enmvf, does not enmvf reverse entail few enmvf?",1
263,"Given fpmbp forward entails mmxmg, does one fpmbp forward entail any mmxmg?",0
264,"Given sigap reverse entails gqwii, does each gqwii reverse entail some sigap?",0
265,"Given myovk forward entails xrucq, does some myovk forward entail each xrucq?",0
266,"Given bxbry contradicts bxbry, does some bxbry reverse entail some bxbry?",0
267,"Given ovdys reverse entails avvej, does any ovdys reverse entail most avvej?",0
268,"Given glgzo contradicts glgzo, does each glgzo contradict most glgzo?",1
269,"Given zrech contradicts zrech, does most zrech contradict most zrech?",1
270,"Given nksyl forward entails xmswp, does not nksyl contradict most xmswp?",0
271,"Given ywrar reverse entails txnjl, does each ywrar contradict any txnjl?",0
272,"Given zgolc contradicts zgolc, does any zgolc contradict each zgolc?",1
273,"Given zrech reverse entails kutwj, does most kutwj contradict one zrech?",0
274,"Given klzai forward entails qebiw, does not klzai reverse entail some qebiw?",0
275,"Given kutwj contradicts kutwj, does most kutwj contradict few kutwj?",1
276,"Given sigap contradicts sigap, does one sigap contradict sigap?",1
277,"Given vnwrt reverse entails oucev, does few vnwrt reverse entail not oucev?",0
278,"Given kkodq contradicts kkodq, does some kkodq forward entail some kkodq?",0
279,"Given jhwcm forward entails yaxtz, does one yaxtz contradict few jhwcm?",0
280,"Given bbdat contradicts bbdat, does any bbdat contradict few bbdat?",1
281,"Given muchy reverse entails kkodq, does some kkodq contradict muchy?",0
282,"Given fqbnj forward entails rxaio, does some fqbnj contradict any rxaio?",0
283,"Given koehl forward entails wnewr, does not koehl contradict not wnewr?",0
284,"Given fpmbp forward entails mmxmg, does most fpmbp forward entail mmxmg?",0
285,"Given xoouc contradicts xoouc, does one xoouc contradict each xoouc?",1
286,"Given zyeej reverse entails nxuqq, does zyeej reverse entail some nxuqq?",0
287,"Given glyql contradicts glyql, does few glyql forward entail one glyql?",0
288,"Given cvrwh contradicts cvrwh, does not cvrwh forward entail not cvrwh?",0
289,"Given tptap reverse entails ppzhm, does not ppzhm contradict some tptap?",0
290,"Given secik reverse entails cvrwh, does some cvrwh forward entail each secik?",1
291,"Given ornzn contradicts ornzn, does any ornzn reverse entail one ornzn?",0
292,"Given prbgm reverse entails emken, does one emken reverse entail each prbgm?",0
293,"Given uucpb contradicts uucpb, does each uucpb contradict few uucpb?",1
294,"Given koeie forward entails kvrzt, does each kvrzt reverse entail any koeie?",1
295,"Given cmxgg forward entails lwgjr, does some lwgjr forward entail cmxgg?",0
296,"Given jyknb forward entails zgjad, does most zgjad contradict any jyknb?",0
297,"Given cpcwh forward entails feqrx, does cpcwh forward entail each feqrx?",0
298,"Given qnxcn reverse entails ehygp, does few qnxcn reverse entail not ehygp?",0
299,"Given kvrzt contradicts kvrzt, does not kvrzt contradict one kvrzt?",0
300,"Given llihr contradicts llihr, does each llihr forward entail llihr?",0
301,"Given hfrjw forward entails nxzwo, does each hfrjw forward entail any nxzwo?",0
302,"Given bkcpo forward entails xlkwn, does any xlkwn forward entail bkcpo?",0
303,"Given glgzo contradicts glgzo, does most glgzo forward entail each glgzo?",0
304,"Given sigap reverse entails fvgvb, does few fvgvb contradict sigap?",0
305,"Given wqfgl contradicts wqfgl, does any wqfgl forward entail not wqfgl?",1
306,"Given dpqqn contradicts dpqqn, does dpqqn contradict any dpqqn?",1
307,"Given ehbfl forward entails sovsy, does one sovsy forward entail ehbfl?",0
308,"Given htluh reverse entails fvgvb, does each htluh forward entail any fvgvb?",0
309,"Given qfsbj forward entails secik, does one secik forward entail most qfsbj?",0
310,"Given cpgyn forward entails gvxfe, does cpgyn forward entail some gvxfe?",0
311,"Given nyuhb reverse entails gvxfe, does any gvxfe reverse entail nyuhb?",0
312,"Given iufyu forward entails ornzn, does most iufyu contradict not ornzn?",0
313,"Given ornzn reverse entails iufyu, does one iufyu forward entail most ornzn?",1
314,"Given gpouj forward entails kxajv, does any gpouj forward entail kxajv?",0
315,"Given cmxgg contradicts cmxgg, does few cmxgg reverse entail some cmxgg?",0
316,"Given kefna forward entails rawca, does each kefna reverse entail any rawca?",0
317,"Given wvbnk reverse entails umjbg, does few wvbnk reverse entail not umjbg?",0
318,"Given afwlr contradicts afwlr, does any afwlr forward entail one afwlr?",0
319,"Given wvbnk reverse entails vcdba, does some wvbnk reverse entail few vcdba?",0
320,"Given dsnjt forward entails rartw, does some rartw reverse entail one dsnjt?",1
321,"Given cqlmr contradicts cqlmr, does few cqlmr reverse entail few cqlmr?",0
322,"Given jvpkd contradicts jvpkd, does one jvpkd contradict some jvpkd?",1
323,"Given kxajv contradicts kxajv, does kxajv forward entail any kxajv?",0
324,"Given kefna forward entails rawca, does kefna contradict each rawca?",0
325,"Given bcrre forward entails nvnhf, does some nvnhf reverse entail few bcrre?",1
326,"Given qbgvx reverse entails jhwcm, does not jhwcm reverse entail most qbgvx?",0
327,"Given mkcnc forward entails oatfz, does each mkcnc forward entail each oatfz?",0
328,"Given gkxsx contradicts gkxsx, does any gkxsx contradict one gkxsx?",1
329,"Given algly forward entails umjbg, does not algly forward entail each umjbg?",0
330,"Given guycs forward entails jfdlw, does some guycs contradict few jfdlw?",0
331,"Given kxajv forward entails sovsy, does any sovsy reverse entail one kxajv?",1
332,"Given xjwfm reverse entails bbdat, does one bbdat contradict any xjwfm?",0
333,"Given kvrzt contradicts kvrzt, does each kvrzt reverse entail most kvrzt?",0
334,"Given mtaiq reverse entails galkp, does mtaiq forward entail one galkp?",0
335,"Given cyevk reverse entails ciylw, does any cyevk contradict each ciylw?",0
336,"Given dccqn reverse entails algly, does dccqn forward entail some algly?",0
337,"Given xkryp forward entails zpcna, does each zpcna forward entail any xkryp?",0
338,"Given glgzo forward entails xrwvq, does not glgzo contradict most xrwvq?",0
339,"Given fjpod reverse entails dpqqn, does any fjpod reverse entail some dpqqn?",0
340,"Given jvpkd contradicts jvpkd, does most jvpkd forward entail some jvpkd?",0
341,"Given ciylw forward entails cpcwh, does any ciylw reverse entail each cpcwh?",0
342,"Given ruwjq reverse entails irzse, does most ruwjq contradict most irzse?",0
343,"Given hgrtf reverse entails dqbje, does not dqbje contradict some hgrtf?",0
344,"Given lphzh reverse entails hkkur, does one hkkur forward entail each lphzh?",1
345,"Given dsnjt contradicts dsnjt, does most dsnjt reverse entail dsnjt?",0
346,"Given fpmbp forward entails mmxmg, does each mmxmg reverse entail one fpmbp?",1
347,"Given tcjyb contradicts tcjyb, does few tcjyb contradict few tcjyb?",1
348,"Given cvilp forward entails gjmcg, does most gjmcg forward entail cvilp?",0
349,"Given hqmtp forward entails kvxne, does some kvxne contradict any hqmtp?",0
350,"Given oltej reverse entails ehbfl, does not oltej reverse entail some ehbfl?",0
351,"Given dccqn forward entails oshkw, does most oshkw forward entail not dccqn?",0
352,"Given zdebg contradicts zdebg, does some zdebg forward entail zdebg?",0
353,"Given cmxgg forward entails lwgjr, does most cmxgg forward entail lwgjr?",0
354,"Given rbugr contradicts rbugr, does most rbugr contradict most rbugr?",1
355,"Given nxzwo forward entails vllmo, does few vllmo forward entail few nxzwo?",0
356,"Given nxzwo forward entails qbgvx, does few nxzwo contradict most qbgvx?",0
357,"Given wqfgl reverse entails ehbfl, does not wqfgl contradict any ehbfl?",0
358,"Given qhpxn reverse entails ishyf, does not ishyf forward entail some qhpxn?",0
359,"Given cgjxa forward entails dtxdf, does few cgjxa forward entail each dtxdf?",0
360,"Given ciylw forward entails cyevk, does most ciylw forward entail each cyevk?",0
361,"Given atvpl forward entails rbugr, does any rbugr reverse entail each atvpl?",1
362,"Given ravri reverse entails iesaj, does some iesaj forward entail ravri?",1
363,"Given hmmow reverse entails glgzo, does some hmmow forward entail few glgzo?",0
364,"Given bkufw contradicts bkufw, does any bkufw reverse entail some bkufw?",0
365,"Given dsnjt forward entails tbtsv, does any dsnjt forward entail some tbtsv?",0
366,"Given cjirb forward entails xednx, does any xednx forward entail some cjirb?",0
367,"Given coreg contradicts coreg, does not coreg reverse entail each coreg?",1
368,"Given lphzh reverse entails hkkur, does lphzh contradict not hkkur?",0
